*,e,a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,A,B,C,D
e,e,a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,A,B,C,D
a,a,q,x,n,o,B,w,m,r,y,i,t,b,u,f,s,l,j,g,A,z,p,c,e,d,C,h,D,v,k
b,b,x,h,g,j,d,p,t,D,i,B,a,A,w,y,C,e,k,v,q,c,z,s,m,r,n,l,o,u,f
c,c,d,g,y,n,z,r,p,s,w,h,f,i,a,q,k,u,b,m,C,o,A,x,j,e,l,D,t,B,v
d,d,u,j,a,q,t,x,i,b,e,s,C,g,o,z,m,f,w,r,D,l,k,y,c,n,B,p,v,A,h
f,f,C,d,l,t,h,a,j,e,q,w,p,c,B,v,x,D,n,y,i,A,r,o,u,z,k,g,s,m,b
g,g,j,p,r,w,n,k,C,v,s,t,d,D,x,e,B,c,h,A,u,y,l,m,i,b,a,f,q,o,z
h,h,m,t,p,i,j,C,q,f,D,o,x,l,s,r,u,b,B,z,e,g,n,v,A,k,w,a,y,c,d
i,i,g,D,m,b,e,A,f,t,h,z,c,C,r,w,l,j,v,B,d,x,o,k,p,s,y,u,n,a,q
j,j,c,i,x,e,q,m,D,h,b,v,u,p,y,n,A,d,s,k,f,a,B,r,g,w,o,C,z,l,t
k,k,s,B,h,m,x,t,o,l,A,u,w,z,i,g,q,r,C,f,y,b,d,D,v,p,j,n,c,e,a
l,l,t,a,z,B,k,n,x,y,o,j,h,e,C,D,w,A,d,c,m,v,g,u,q,f,p,b,i,s,r
m,m,b,A,s,r,y,v,l,B,k,f,e,t,g,j,z,x,D,C,a,w,u,p,h,i,c,q,d,n,o
n,n,o,w,d,u,C,j,s,g,c,m,B,r,q,l,i,z,x,b,v,f,h,e,y,a,t,k,A,D,p
o,o,z,y,q,l,A,e,r,x,a,g,v,w,f,C,b,B,c,j,k,t,i,d,n,u,D,s,p,h,m
p,p,i,C,k,s,w,B,u,z,v,q,j,f,m,b,o,g,t,l,c,r,a,A,D,h,x,d,e,y,n
q,q,l,e,u,f,D,c,b,j,d,r,A,x,z,B,g,t,y,w,h,C,s,n,a,o,v,m,k,p,i
r,r,w,k,b,x,a,h,B,A,m,C,n,v,j,c,t,y,p,D,o,e,f,i,s,g,d,z,u,q,l
s,s,r,v,i,g,c,D,z,C,p,l,y,B,b,x,f,w,A,t,n,j,q,h,k,m,e,o,a,d,u
t,t,A,q,C,D,i,u,e,d,f,y,m,a,v,k,c,h,o,n,b,p,w,z,l,B,s,x,r,g,j
u,u,f,c,o,z,v,y,g,w,n,b,D,j,l,t,r,C,e,x,p,B,m,a,d,q,A,i,h,k,s
v,v,k,z,D,p,g,f,n,u,C,a,r,o,h,m,d,s,l,q,w,i,e,t,B,A,b,y,x,j,c
w,w,y,s,j,c,u,i,v,p,g,A,o,k,e,a,D,n,m,h,z,d,t,b,r,x,q,B,l,f,C
x,x,e,m,w,y,o,s,A,k,r,D,q,h,c,d,v,a,i,p,l,n,C,g,b,j,u,t,f,z,B
y,y,n,r,e,a,l,b,k,m,x,p,z,s,d,u,h,o,g,i,B,q,D,j,w,c,f,v,C,t,A
z,z,B,n,f,C,p,d,w,c,u,x,k,y,t,A,j,v,a,e,s,D,b,q,o,l,h,r,m,i,g
A,A,h,l,v,k,r,z,a,o,B,d,b,q,p,i,n,m,f,u,x,s,c,C,t,D,g,e,j,w,y
B,B,v,o,t,A,m,q,y,a,l,c,s,n,D,p,e,k,u,d,r,h,j,f,z,C,i,w,g,b,x
C,C,D,u,B,v,s,o,c,n,z,e,i,d,A,h,y,p,q,a,g,k,x,l,f,t,m,j,b,r,w
D,D,p,f,A,h,b,l,d,q,t,n,g,u,k,s,a,i,z,o,j,m,y,B,C,v,r,c,w,x,e
